Trader Registration;;;;;
;;;;;
Fields collected during onboarding (6.1.1.1) or editing a profile (6.4.8.4) to be mapped to;;the following fields in Salesforce;;;
Pushed to Salesforce as a Lead on Registration;;;;;
Updated in Salesforce to an Account upon Verification;;Lead splits into Account and Contact;;;
Wastetrade field;Constraints;Salesforce field;Constraints;Salesforce API Key;
User ID;(system generated) Unique 8-digit numerical username;WasteTrade User Id;(string);WasteTrade_User_Id__c;
Prefix;"Input Type: Dropdown; Dropdown Options: Dr, Miss, Mr, Mrs, Ms, Mx, Prof., Rev., Constraints: None; Mandatory: Yes; Default value : “Mr”";Title;(string);Title;
First Name;"Input Type: Text; Support for Latin-1 Supplement, Latin Extended-A, Latin Extended B, Arabic, Cantonese Bopomofo, Mandarin, and support for special characters and punctuation,Script Constraints: Max 50 characters; Mandatory: Yes";First Name;(string);FirstName;
Last Name;"Input Type: Text; Support for Latin-1 Supplement, Latin Extended-A, Latin Extended B, Arabic, Cantonese Bopomofo, Mandarin, and support for special characters and punctuation,Script Constraints: Max 50 characters; Mandatory: Yes";* Last Name ;(string);LastName;
Phone Number Country Code;"Input Type: Dropdown; Dropdown options show country flag, Country Name, Country code Constraints: None; Mandatory: Yes; Default value : UK +44";Pushes through as part of Mobile Phone;;;
Job Title;"Input type: Text; Constraints: Min 1 character, Max 50 characters, Mandatory";Job Title;Text(100);Job_Title__c;
Phone Number;"Input Type: Text; Constraints: Numeric, Max 15 digits; Mandatory: Yes";Mobile Phone;(phone);MobilePhone;
Email Address;"Input Type: Email; Constraints: Must include “@” Valid email format; Mandatory: Yes;";Doesn't Push to Salesforce - Saved on WasteTrade;;;
Password;"Input Type: Password; Constraints: Min 8 characters, must include numbers and letters, contain special characters; Mandatory: Yes";;;;
Company Name;"Input Type: Text; Constraints: Max 100 characters; Mandatory: Yes";* Company ;(string);Company;
Company Interest;"Input Type: Dropdown menu with values Buyer, Seller, Both; Constraints: No; Mandatory: Yes; Default value: “Both”";WasteTrade Company Interest;(picklist);WasteTrade_Company_Interest__c;
Company Type;"Auto-populated and editable field; 
Input Type: Dropdown menu with values from predefined sources; Constraints: None; Mandatory";WasteTrade Type (picklist) or Wastetrade Type Other (string);;WasteTrade_Type__c;
Type;;Type;;Default Value of Customer?;
Materials of interest (Multiple selection);Checkboxes: and all material checkboxes as defined in the database, Text field 'Other material' is displayed when 'Other' is checked;"These are the WordPress to SF keys for each individual material
LDPE
PC
PET
PVC
PA
HDPE
PP
ABS
PS
ACRYLIC
OTHER MIX
Verified
Inactive
FERROUS_METAL
NON_FERROUS_METAL
FIBRE ORDINARY GRADES
FIBRE MEDIUM GRADES
FIBRE HIGH GRADES
FIBRE KRAFT GRADES
FIBRE SPECIAL GRADES
NATURAL RUBBER
SYNTHETIC RUBBER";Checkbox;"These are the WordPress to SF keys for each individual material
LDPE__c' => $ldpe,
PC__c' => $pc,
PET__c' => $pet,
PVC__c' => $pvc,
PA__c' => $pa,
HDPE__c' => $hdpe,
PP__c' => $pp,
ABS__c' => $abs,
//         'EPS__c'       => $eps,
PS__c' => $ps,
ACRYLIC__c' => $acrylic,
OTHER_MIX__c' => $other_mix,
Verified__c' => $verified_value,
Inactive__c' => $inactive_value,
FERROUS_METAL__c' => $ferrous,
NON_FERROUS_METAL__c' => $non_ferrous,
FIBRE_ORDINARY_GRADES__c' => $ordinary_grades,
FIBRE_MEDIUM_GRADES__c' => $medium_grades,
FIBRE_HIGH_GRADES__c' => $high_grades,
FIBRE_KRAFT_GRADES__c' => $kraft_grades,
FIBRE_SPECIAL_GRADES__c' => $special_grades,
NATURAL_RUBBER__c' => $natural_rubber,
SYNTHETIC_RUBBER__c' => $synthetic_rubber";
Other material;"Display condition: When 'Other' in the Materials of interest is checked
Input Type: Text field; Constraints:Max 100 characters; Mandatory: Yes";Other Material;(String);Other_Material__c;
Where did you hear about us?;"Input Type: Dropdown menu with values from predefined sources ; Mandatory: Yes";Lead Source ;(picklist);LeadSource;
;;Lead Direction;(picklist);Lead_Direction__c;
;;Lead Buyer Intention;(picklist);Lead_Buyer_Intention__c;
;;WasteTrade Lead Source ;(picklist);Wastetrade_Lead_Source__c;
;;Subsidary Source;(picklist);Subsidiary_Source__c;
;;Engagement Source URL;URL(255);Engagement_Source_URL__c;
Member approval - Approve user;Input type: approve button;Complete Account ;(picklist);;
Member approval - Reject user;Radio button: Incomplete documentation, Invalid Company Registration, Duplicate account, Unverified contact information, Other (provide a custom reason);Complete Account ;(picklist);;
Member approval - More information required;"Radio buttons: Additional company documentation required, Clarification on provided details, Update on business address, Other (provide a custom request)
";Complete Account ;(picklist);;
Admin-visible notes (per user);"Multiline text; Alphanumeric and support for special characters and punctuation. Max 4000 chars. Supports line breaks. Optional.";;;;
User Role;"System-defined during registration or updated by Company Admin/Platform Admin (6.3.3.6, 6.3.3.9)

Options: Buyer, Seller, Dual, Haulier, Company Admin

Company Admin shown as original user role + Company Admin
e.g. ""Buyer (Company Admin)""";"Role
";;;
;;Company Admin?;Checkbox;Contact.IsCompanyAdmin__c;
;;;;;
;;;;;
Trader Org Details;;;;;
;;;;;
Wastetrade field;Constraints;Salesforce field;Constraints;Salesforce API Key;
Company ID;(system generated) ;;;Account.ExternalId__c;
VAT Registration Country;"Auto-populated and editable field; 
Input Type: Radio Button; EU, UK, Other. Mandatory";N/A ;N/A;;
VAT Number;"Display conditions : When VAT Registration Country checked
Auto-populated and editable field. Input Type: Text; Mandatory";Company VAT Number ;(string);Company_VAT_Number__c;
Company Registration Number;"Input Type: Text; 
Constraints: None
Mandatory";Company Registration Number ;(string);Company_Registration_Number__c;
Company Size;System-generated based on number of members associated with a company.;Not on SF;;;
Address (Street Address);"Auto-populated and editable field; 
Input Type: Text
Constraints: Max 100 characters;
Mandatory";Address;Address fields all in one object;Address__c;
Postcode;"Auto-populated and editable field; 
Input Type: Text; 
Constraints: Max 20 characters; 
Mandatory";Mailing Zip/Postal Code OR Zip/Postal Code ;Address fields all in one object;;
City;"Auto-populated and editable field; 
Input Type: Text; 
Constraints: Max 50 characters; 
Mandatory";Mailing City OR City ;Address fields all in one object;;
County/State/Region;"Auto-populated and editable field; 
Input Type: Text; 
Constraints: Max 50 characters; 
Mandatory";Mailing Country OR Country ;Address fields all in one object;;
Country;"Auto-populated and editable field; 
Input Type: Dropdown menu with predefined options; 
Constraints: Max 50 characters; 
Mandatory";;Address fields all in one object;;
Site location info;;;;;
Location Name;"Input Type: Text; Constraints: Mandatory; No character limit specified";;;;
Site Point of Contact;"Input Type: Auto-populated from registration; Constraints: First Name, Last Name; Mandatory";See below fields;;;
First Name;"Input Type: Text; Support for Latin-1 Supplement, Latin Extended-A, Latin Extended B, Arabic, Cantonese Bopomofo, Mandarin, and support for special characters and punctuation, Script Constraints: Max 50 characters; Mandatory: Yes";Lead First Name;Text(255);Lead_First_Name__c;
Last Name;"Input Type: Text; Support for Latin-1 Supplement, Latin Extended-A, Latin Extended B, Arabic, Cantonese Bopomofo, Mandarin, and support for special characters and punctuation, Script Constraints: Max 50 characters; Mandatory: Yes";Lead Last Name;Text(255);Lead_Last_Name__c;
Position;"Input Type: Text; Constraints: Optional; No character limit specified; Mandatory";Not on SF;;;
Location Telephone;"Input Type: Text; Constraints: Numeric, format as per country standards; Mandatory";Phone OR Busines Phone ;(phone);Lead_Phone__c;
Address;"Input Type: Conditional; Select same as previous or enter new; Mandatory";;;;
Street Address;"Input Type: Text; Constraints: Mandatory if new address; No character limit specified";;Text Area (255);Shipping_Street__c;
Postcode;"Input Type: Text; Constraints: Mandatory if new address; No character limit specified";;Text (20);Shipping_Zip_Postal_Code__c;
City;"Input Type: Text; Constraints: Mandatory if new address; No character limit specified";;Text(20);Shipping_City__c;
County/State/Region;"Input Type: Text; Constraints: Mandatory if new address; No character limit specified";;Text(20);Shipping_State_Province__c;
Country;"Input Type: Dropdown menu with predefined options; Constraints: Mandatory if new address; No character limit specified";;Text(20);Shipping_Country__c;
Head Office Opening Time;"Input Type: Time; Format: HH:MM
; Constraints: Mandatory";Not on SF;;;
Head Office Closing Time;"Input Type: Time; Format: HH:MM
; Constraints: Mandatory";Not on SF;;;
Materials Accepted;"Input Type: Checkboxes; Constraints: List of materials; Mandatory";Not on SF;;;
Loading Ramp;"Input Type: Radio Button; Options: Yes, No; Mandatory";Has Loading Ramp;Picklist;Has_Loading_Ramp__c;
Weighbridge;"Input Type: Radio Button; Options: Yes, No; Mandatory";Has Weigh Bridge;Picklist;Has_Weigh_Bridge__c;
Container Types;"Input Type: Checkbox; Options: Curtain Slider, Containers, Tipper Trucks, Walking Floor; Mandatory";Not on SF;;;
Self Load/Unload Capability;"Input Type: Radio Button; Options: Yes, No; Mandatory";Not on SF;;;
Access Restrictions;"Input Type: Conditional Text; Displayed if Yes selected; Optional";Not on SF;;;
Environmental Permit upload;"File upload; Constraints: Valid file types only (.jpeg, .jpg, tiff, .png, .pdf). Max file size 25 MB. Expiry date per document.";Not on SF - We need a doc upload to licence information on an Account;;;
Waste Exemptions Upload;"File upload; Constraints: Valid file types only (.jpeg, .jpg, tiff, .png, .pdf). Max file size 25 MB. Expiry date per document.";Not on SF - We need a doc upload to licence information on an Account;;;
Other document upload;"File upload; Constraints: Valid file types only (.jpeg, .jpg, tiff, .png, .pdf). Max file size 25 MB. Expiry date per document.";;;;
Waste Carrier Licence;"File upload; Constraints: Valid file types only (.jpeg, .jpg, tiff, .png, .pdf). Max file size 25 MB. Expiry date per document.";Not on SF - We need a doc upload to licence information on an Account;;;
Box Clearing Agent;"Input Type: Radio button; Options: Yes, No;";Not on SF;;;
Company Admins;System defined list of Company Admin users (First name, Last name, Email address, User ID);;;;
;;;;;
Haulier Registration;;;;;
;;;;;
Fields collected during onboarding (6.1.1.1) or editing a profile (6.4.8.4) to be mapped to;;the following fields in Salesforce;;;
Pushed to Salesforce as a Lead on Registration;;;;;
Updated in Salesforce to an Account upon Verification;;Lead splits into Account and Contact;;;
Wastetrade field;Constraints;Salesforce field;Constraints;Salesforce API Key;
Prefix;"Input Type: Dropdown; Dropdown Options: Dr, Miss, Mr, Mrs, Ms, Mx, Prof., Rev., Constraints: None; Mandatory: Yes; Default value : “Mr”";Title;(string);;
First Name;"Input Type: Text; Support for Latin-1 Supplement, Latin Extended-A, Latin Extended B, Arabic, Cantonese Bopomofo, Mandarin, and support for special characters and punctuation,Script Constraints: Max 50 characters; Mandatory: Yes";First Name;(string);;
Last Name;"Input Type: Text; Support for Latin-1 Supplement, Latin Extended-A, Latin Extended B, Arabic, Cantonese Bopomofo, Mandarin, and support for special characters and punctuation,Script Constraints: Max 50 characters; Mandatory: Yes";* Last Name ;(string);;
Phone Number Country Code;"Input Type: Dropdown; Dropdown options show country flag, Country Name, Country code Constraints: None; Mandatory: Yes; Default value : UK +44";Pushes through as part of Mobile Phone;;;
Job Title;"Input type: Text; Constraints: Min 1 character, Max 50 characters, Mandatory";Job Title;Text(100);;
Phone Number;"Input Type: Text; Constraints: Numeric, Max 15 digits; Mandatory: Yes";Mobile Phone;(phone);;
Email Address;"Input Type: Email; Constraints: Must include “@” Valid email format; Mandatory: Yes;";Email;(email);;
Password;"Input Type: Password; Constraints: Min 8 characters, must include numbers and letters, contain special characters; Mandatory: Yes";Doesn't Push to Salesforce - Saved on WasteTrade;;;
Company Name;"Input Type: Text; Constraints: Max 100 characters; Mandatory: Yes";* Company ;(string);;
Company Interest;"Input Type: Dropdown menu with values Buyer, Seller, Both; Constraints: No; Mandatory: Yes; Default value: “Both”";WasteTrade Company Interest;(picklist);;
Company Type;"Auto-populated and editable field; 
Input Type: Dropdown menu with values from predefined sources; Constraints: None; Mandatory";WasteTrade Type (picklist) or Wastetrade Type Other (string);;;
Type;Haulier;Type;;;
VAT Registration Country;"Auto-populated and editable field; 
Input Type: Radio Button; EU, UK, Other. Mandatory";N/A ;N/A;;
VAT Number;"Display conditions : When VAT Registration Country checked
Auto-populated and editable field. Input Type: Text; Mandatory";Company VAT Number ;(string);;
Company Registration Number;"Input Type: Text; 
Constraints: None
Mandatory";Company Registration Number ;(string);;
Address (Street Address);"Auto-populated and editable field; 
Input Type: Text
Constraints: Max 100 characters;
Mandatory";Address;Address fields all in one object;;
Postcode;"Auto-populated and editable field; 
Input Type: Text; 
Constraints: Max 20 characters; 
Mandatory";Mailing Zip/Postal Code OR Zip/Postal Code ;Address fields all in one object;;
City;"Auto-populated and editable field; 
Input Type: Text; 
Constraints: Max 50 characters; 
Mandatory";Mailing City OR City ;Address fields all in one object;;
County/State/Region;"Auto-populated and editable field; 
Input Type: Text; 
Constraints: Max 50 characters; 
Mandatory";Mailing Country OR Country ;Address fields all in one object;;
Country;"Auto-populated and editable field; 
Input Type: Dropdown menu with predefined options; 
Constraints: Max 50 characters; 
Mandatory";;Address fields all in one object;;
Fleet Type;;Not in SF;;;
Areas Company can cover;;Not in SF;;;
EU Countries;"Austria
Albania
Belgium
Bosnia and Herzegovina
Bulgaria
Czech Republic
Croatia
Denmark
Estonia
Finland
France
Germany
Greece
Hungary
Ireland
Italy
Kosovo
Latvia
Lithuania
Luxembourg
Montenegro
Netherlands
North Macedonia
Poland
Portugal
Romania
Serbia
Slovakia
Slovenia
Spain
Sweden
United Kingdom";Not in SF;;;
Container Types;;Not in SF;;;
Waste Carrier Licence;"File upload; Constraints: Valid file types only (.jpeg, .jpg, tiff, .png, .pdf). Max file size 25 MB. Expiry date per document.";;;;
Member approval - Approve user;Input type: approve button;Complete Account ;(picklist);;
Member approval - Reject user;Radio button: Incomplete documentation, Invalid Company Registration, Duplicate account, Unverified contact information, Other (provide a custom reason);Complete Account ;(picklist);;
Member approval - More information required;"Radio buttons: Additional company documentation required, Clarification on provided details, Update on business address, Other (provide a custom request)
";Complete Account ;(picklist);;
Admin-visible notes (per user);Notes;"Multiline text; Alphanumeric and support for special characters and punctuation. Max 4000 chars. Supports line breaks. Optional.";;;
;;;;;
ListingsBids;;;;;
;;;;;
Function;Wastetrade field;Constraints;Salesforce field;Constraints;Salesforce API Key
Sales Listings;Listing ID;(system generated);WasteTrade Listing Id AND Sales Listing Name ;(string);WasteTrade_Listing_Id__c
;;;Sales Listing Link ;(url);Sales_Listing_Link__c
;Seller full name;Text, Mandatory;WasteTrade User Id ;(string);It just references WasteTrade_User_Id__c - Probably needs to also reference the SF Account/Contact
;Seller company;Text, Mandatory;;;N/A 
